,number_week,artist_individual,true_streams,rank
115,20210422,Justin Bieber,13083039.0,6.0
116,20210422,Lil Nas X,12439284.0,7.0
117,20210422,DaBaby,12102453.166666666,8.0
118,20210422,Doja Cat,11509211.0,9.0
119,20210422,The Weeknd,10269668.0,10.0
120,20210429,Polo G,20882896.666666668,1.0
121,20210429,Juice WRLD,13495954.5,2.0
122,20210429,Drake,13297258.5,3.0
123,20210429,Morgan Wallen,13172103.0,4.0
124,20210429,The Weeknd,12851617.0,5.0
125,20210429,DaBaby,12386145.5,6.0
126,20210429,Doja Cat,12161210.5,7.0
127,20210429,Olivia Rodrigo,11998214.0,8.0
128,20210429,Lil Nas X,11462364.0,9.0
129,20210429,Justin Bieber,11309369.0,10.0
130,20210506,Polo G,19713745.666666668,1.0
131,20210506,Billie Eilish,17263225.5,2.0
132,20210506,Drake,13542754.5,3.0
133,20210506,Doja Cat,13519828.0,4.0
134,20210506,Morgan Wallen,13300064.0,5.0
135,20210506,Juice WRLD,12633664.5,6.0
136,20210506,Lil Baby,11989492.433333334,7.0
137,20210506,Olivia Rodrigo,11340676.0,8.0
138,20210506,DaBaby,11057640.016666666,9.0
139,20210506,The Weeknd,10865918.0,10.0
140,20210513,Polo G,18246604.166666668,1.0
141,20210513,J. Cole,16952645.0,2.0
142,20210513,Morgan Wallen,13125667.0,3.0
143,20210513,Doja Cat,13017972.5,4.0
144,20210513,Juice WRLD,12451007.0,5.0
145,20210513,Drake,11052509.0,6.0
146,20210513,Billie Eilish,10857827.5,7.0
147,20210513,Olivia Rodrigo,10627293.0,8.0
148,20210513,DaBaby,10323019.666666666,9.0
149,20210513,Lil Baby,10275746.833333334,10.0
150,20210520,J. Cole,100094108.83333333,1.0
151,20210520,Olivia Rodrigo,30809657.0,2.0
152,20210520,Polo G,17281886.833333332,3.0
153,20210520,Lil Baby,15644758.566666666,4.0
154,20210520,Doja Cat,12830171.5,5.0
155,20210520,Drake,12251198.25,6.0
156,20210520,Morgan Wallen,11723509.0,7.0
157,20210520,Juice WRLD,11511599.5,8.0
158,20210520,Bas,11201646.0,9.0
159,20210520,The Weeknd,9798882.0,10.0
160,20210527,Olivia Rodrigo,163164535.0,1.0
161,20210527,J. Cole,36624713.166666664,2.0
162,20210527,Polo G,19189992.833333332,3.0
163,20210527,Twenty One Pilots,13584974.0,4.0
164,20210527,Doja Cat,12017467.5,5.0
165,20210527,BTS,11883409.0,6.0
166,20210527,Morgan Wallen,11866687.0,7.0
167,20210527,Lil Baby,11714592.5,8.0
168,20210527,Lil Nas X,11559946.0,9.0
169,20210527,Juice WRLD,11493511.0,10.0
170,20210603,Olivia Rodrigo,118447852.0,1.0
171,20210603,J. Cole,22057313.666666668,2.0
172,20210603,Juice WRLD,18081425.5,3.0
173,20210603,Polo G,17137306.333333332,4.0
174,20210603,Morgan Wallen,11549760.0,5.0
175,20210603,Doja Cat,11469910.0,6.0
176,20210603,Lil Baby,11324450.666666666,7.0
177,20210603,Drake,10958995.75,8.0
178,20210603,Lil Nas X,9905495.0,9.0
179,20210603,The Weeknd,9707160.0,10.0
180,20210610,Olivia Rodrigo,94567161.0,1.0
181,20210610,Lil Baby,20765000.0,2.0
182,20210610,Polo G,15163380.666666666,3.0
183,20210610,Lil Durk,13926392.833333334,4.0
184,20210610,J. Cole,13852572.833333334,5.0
185,20210610,Juice WRLD,12853133.5,6.0
186,20210610,Bad Bunny,11289643.5,7.0
187,20210610,Morgan Wallen,11260261.0,8.0
188,20210610,Billie Eilish,11140237.5,9.0
