,week,country,rank,artist_names,artists_num,artist_individual,artist_id,artist_genre,artist_img,collab,track_name,release_date,source,peak_rank,previous_rank,weeks_on_chart,streams,region,language,ISO3,number_week,true_streams
4185,2022-04-07,Egypt,1,Wegz,1,Wegz,spotify:artist:4BKC2HOGEqtYz2Xbgp9N1q,egyptian hip hop,https://i.scdn.co/image/ab6761610000e5eb185a8c7cf90489ccd67cc501,0,البخت,2022-02-26,Takwene,1,1,6,235712,Middle East,Arabic,EGY,20220407,235712.0
4186,2022-04-07,El Salvador,1,"Tainy, Bad Bunny, Julieta Venegas",3,Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,pop reggaeton,https://i.scdn.co/image/ab6761610000e5eb0b4ecb49d9dcd631a07a1315,1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Neon16,1,3,27,141638,Central America,Spanish,SLV,20220407,47212.666666666664
4187,2022-04-07,Estonia,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,78024,Europe,Estonian,EST,20220407,78024.0
4188,2022-04-07,Finland,1,pehmoaino,1,pehmoaino,spotify:artist:4Qk8DhjJRW0Dwd039aVOfr,finnish pop,https://i.scdn.co/image/ab6761610000e5eb3cf503d0a889688e531c984c,0,haluun takas mun perhoset,2022-03-11,Sony Music Entertainment Finland,1,3,2,698710,Europe,Finnish,FIN,20220407,698710.0
4189,2022-04-07,France,1,"Disiz, Damso",2,Disiz,spotify:artist:7rz6ZZErn5YFDteXKhyf3g,pop urbaine,https://i.scdn.co/image/ab6761610000e5eba2e1a45a5ae5a14aaa035e6f,1,RENCONTRE,2022-03-17,Universal Music Distribution Deal,1,1,3,2546519,Europe,French,FRA,20220407,1273259.5
4190,2022-04-07,Germany,1,"Miksu / Macloud, t-low",2,Miksu / Macloud,spotify:artist:76dRoxKtDwYkgCQePok9cU,german hip hop,https://i.scdn.co/image/ab6761610000e5eb1b26ead4c844959cf1ee54e8,1,Sehnsucht,2022-03-04,FUTURA,1,1,5,2912082,Europe,German,DEU,20220407,1456041.0
4191,2022-04-07,Greece,1,"FLY LO, Saske",2,FLY LO,spotify:artist:1zeAbUJAbLOWeYpgRVnYmu,greek drill,https://i.scdn.co/image/ab6761610000e5eb8594c974b9d4aa9e17c23e00,1,Loyal,2022-04-01,Minos - EMI SA Distribution Deals,1,-1,1,490520,Europe,Greek,GRC,20220407,245260.0
4192,2022-04-07,Guatemala,1,Danny Ocean,1,Danny Ocean,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj,latin,https://i.scdn.co/image/ab6761610000e5eb5f8bb457ee2815cc276ddb9d,0,Fuera del mercado,2022-02-17,Atlantic Records,1,6,7,333126,Central America,Spanish,GTM,20220407,333126.0
4193,2022-04-07,Honduras,1,"Daddy Yankee, Bad Bunny",2,Daddy Yankee,spotify:artist:4VMYDCV2IEDYJArk749S6m,latin,https://i.scdn.co/image/ab6761610000e5eb2204cb5a314573e202f20f8d,1,X ÚLTIMA VEZ,2022-03-25,Republic Records,1,1,2,111383,Central America,Spanish,HND,20220407,55691.5
4194,2022-04-07,Hong Kong,1,Keung To,1,Keung To,spotify:artist:0DwdA5ZgTJcIQ2uIhc110D,hk-pop,https://i.scdn.co/image/ab67616d0000b273b9ecd607db7c90d4735ebba0,0,"Dear My Friend,",2021-08-06,Music Nation Records Co. Ltd.,1,1,35,220669,Asia,Cantonese,HKG,20220407,220669.0
4195,2022-04-07,Hungary,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,249636,Europe,Hungarian,HUN,20220407,249636.0
4196,2022-04-07,Iceland,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,64382,Europe,Icelandic,ISL,20220407,64382.0
4197,2022-04-07,India,1,"AP Dhillon, Gurinder Gill, Intense",3,AP Dhillon,spotify:artist:6LEG9Ld1aLImEFEVHdWNSB,punjabi hip hop,https://i.scdn.co/image/ab6761610000e5ebee5731622ac71900bb4428c4,1,Excuses,2020-07-24,RUN-UP RECORDS,1,1,24,4242648,Asia,Hindi,IND,20220407,1414216.0
4198,2022-04-07,Indonesia,1,Tulus,1,Tulus,spotify:artist:2iDVt6mFbtbDEZG5ax0dTi,indonesian singer-songwriter,https://i.scdn.co/image/ab6761610000e5ebb2dac5833519e3b4e5f7efdb,0,Hati-Hati di Jalan,2022-03-03,TulusCompany,1,1,5,5379093,Asia,Indonesian,IDN,20220407,5379093.0
4199,2022-04-07,Ireland,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,795292,Europe,English,IRL,20220407,795292.0
4200,2022-04-07,Israel,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,209723,Middle East,Hebrew,ISR,20220407,209723.0
4201,2022-04-07,Italy,1,Rhove,1,Rhove,spotify:artist:44DWomjW1oDuxIoBIRpmQ4,italian hip hop,https://i.scdn.co/image/ab6761610000e5eb66135a6ae13b1bf1bb89fbd0,0,Shakerando,2021-12-15,Universal Music Italia srL.,1,3,16,2312027,Europe,Italian,ITA,20220407,2312027.0
